Ticker,alpha,beta
7751.T,4.3418971081280366e-05,0.861196950041026
7752.T,-1.8095783166903218e-05,1.0350449514388327
7832.T,0.0007003349190941845,0.8340221708490523
7911.T,9.586250133660347e-05,1.027400389473828
7912.T,0.00019388764396058392,0.9524487671271888
7951.T,-0.00010135529392527655,1.0956400593726443
7974.T,0.0008607313446369158,0.901283884663736
8001.T,0.0006244836422635489,0.9997259905616679
8002.T,0.0006528405022073369,1.203554721821225
8015.T,0.0004500079525744592,1.3961001733158436
8031.T,0.0005820835823079394,1.10167037804785
8035.T,0.0009851122021377451,1.2789165829354276
8053.T,0.0004486100193220795,1.0745387077753212
8058.T,0.0006068509792855369,1.0054026547427928
8233.T,0.0001260003939805613,0.8793761275448643
8252.T,0.00013039277740272141,0.9198368064369423
8253.T,0.00013436668637568352,1.1111562840336249
8267.T,0.00037471891289116475,0.681887529791127
8304.T,-0.0002407598189301658,0.8238898198147846
8306.T,0.0003682459168193539,1.1386122580696676
8308.T,0.0003478440305804655,1.0583417887012485
8309.T,0.00016755800688944875,1.0622074956194376
8316.T,0.00034382876355609256,1.0404362207949651
8331.T,0.000124216344129949,1.1576156312314405
8354.T,8.731764782162767e-05,1.1457355372750584
8411.T,0.00022335831840675468,1.0123800152745255
8591.T,0.0002224891175444466,1.1582853726415947
8601.T,9.568846009440102e-05,1.1203482680976833
8604.T,8.346906146033191e-05,1.274346166932206
8630.T,0.00045457406133264433,1.083112889237227
8697.T,0.00016746208425186325,1.001895570113113
8725.T,0.00036363444613683147,1.06657899359902
8750.T,0.0002384423865819694,1.2316399080608693
8766.T,0.0004768280085006418,1.161778290678321
8795.T,0.00024361813676154948,1.270862729500819
8801.T,4.210462946466258e-05,1.1190088730158263
8802.T,-2.7726462028579402e-05,0.9583482357507782
8804.T,0.00022011919261782513,1.1495410063799223
8830.T,8.59471180925994e-05,1.1766438523539866
9001.T,-0.00019235509285857425,0.7291533545233814
9005.T,-0.00016902881319389026,0.7689386176656934
9007.T,-0.00031333485217221264,0.7662586012953392
9008.T,-0.00022928863335317884,0.7538582844596552
9009.T,-1.791853186090673e-05,0.9044277475804233
9020.T,-0.00012319314313267703,0.7259803333258206
9021.T,-0.00017068924642755278,0.7554103808908657
9022.T,-0.00013994419039295184,0.7860234337445975
9064.T,-9.564916087879955e-05,0.7278429938178945
9101.T,0.0007661263354479288,1.059747444330187
9104.T,0.000666539639355439,1.1566065843116844
9107.T,0.0009288402056322231,1.2349103889137787
9147.T,0.00029143284373887006,0.6429845306483447
9201.T,-0.00020698055728782434,0.750839103409121
9202.T,-0.00018070474590806693,0.7113245002290237
9432.T,0.00021041457877334985,0.5396461162120533
9433.T,0.00019706096591623433,0.5907688060580959
9434.T,0.00039893280765226316,0.3779189944143249
9501.T,-5.170863318566246e-06,0.9541301290647971
9502.T,0.00010949114899207966,0.636931674267443
9503.T,0.00020511617983130808,0.7504772916931677
9531.T,0.00026203428853688684,0.6410112917693194
9532.T,0.00024709281045306005,0.6546282539220871
9602.T,0.00037734162240880495,0.691427705200666
9735.T,1.7562914875968053e-05,0.6813071937959873
9766.T,0.0008035858166909522,0.8887987160134212
9843.T,0.00010723904785884888,0.4672134927765341
9983.T,0.0003955448226318157,0.991594888844091
9984.T,0.0007141621210415215,1.3551307819200318
