date,symbol,series_kind,open,high,low,close,adj_close,volume,trading_date
2016-08-09,TOPIX,TOPIX_INDEX_JPX,1305.27,1317.87,1304.79,1317.49,1317.49,,2016-08-09
2016-08-10,TOPIX,TOPIX_INDEX_JPX,1311.98,1318.99,1308.4,1314.83,1314.83,,2016-08-10
2016-08-12,TOPIX,TOPIX_INDEX_JPX,1325.32,1325.57,1318.69,1323.22,1323.22,,2016-08-12
2016-08-15,TOPIX,TOPIX_INDEX_JPX,1319.07,1322.99,1315.92,1316.63,1316.63,,2016-08-15
2016-08-16,TOPIX,TOPIX_INDEX_JPX,1318.52,1319.09,1298.47,1298.47,1298.47,,2016-08-16
2016-08-17,TOPIX,TOPIX_INDEX_JPX,1297.4,1312.87,1297.14,1311.13,1311.13,,2016-08-17
2016-08-18,TOPIX,TOPIX_INDEX_JPX,1302.29,1306.37,1290.74,1290.79,1290.79,,2016-08-18
2016-08-19,TOPIX,TOPIX_INDEX_JPX,1296.26,1300.03,1288.6,1295.67,1295.67,,2016-08-19
2016-08-22,TOPIX,TOPIX_INDEX_JPX,1300.35,1304.84,1296.25,1303.68,1303.68,,2016-08-22
2016-08-23,TOPIX,TOPIX_INDEX_JPX,1299.72,1307.61,1292.85,1297.56,1297.56,,2016-08-23
2016-08-24,TOPIX,TOPIX_INDEX_JPX,1305.35,1310.57,1302.6,1306.71,1306.71,,2016-08-24
2016-08-25,TOPIX,TOPIX_INDEX_JPX,1306.43,1307.6,1301.79,1304.27,1304.27,,2016-08-25
2016-08-26,TOPIX,TOPIX_INDEX_JPX,1299.32,1299.32,1287.9,1287.9,1287.9,,2016-08-26
2016-08-29,TOPIX,TOPIX_INDEX_JPX,1309.17,1316.39,1307.88,1313.24,1313.24,,2016-08-29
2016-08-30,TOPIX,TOPIX_INDEX_JPX,1310.09,1315.46,1308.39,1312.81,1312.81,,2016-08-30
2016-08-31,TOPIX,TOPIX_INDEX_JPX,1323.89,1331.0,1322.68,1329.54,1329.54,,2016-08-31
2016-09-01,TOPIX,TOPIX_INDEX_JPX,1330.77,1338.52,1327.88,1337.38,1337.38,,2016-09-01
2016-09-02,TOPIX,TOPIX_INDEX_JPX,1335.55,1341.51,1334.56,1340.76,1340.76,,2016-09-02
2016-09-05,TOPIX,TOPIX_INDEX_JPX,1357.01,1357.41,1342.68,1343.85,1343.85,,2016-09-05
2016-09-06,TOPIX,TOPIX_INDEX_JPX,1344.87,1353.7,1343.87,1352.58,1352.58,,2016-09-06
2016-09-07,TOPIX,TOPIX_INDEX_JPX,1340.33,1350.38,1339.17,1349.53,1349.53,,2016-09-07
2016-09-08,TOPIX,TOPIX_INDEX_JPX,1346.33,1348.29,1337.36,1345.95,1345.95,,2016-09-08
2016-09-09,TOPIX,TOPIX_INDEX_JPX,1345.45,1349.57,1340.64,1343.86,1343.86,,2016-09-09
2016-09-12,TOPIX,TOPIX_INDEX_JPX,1325.33,1329.67,1316.68,1323.1,1323.1,,2016-09-12
2016-09-13,TOPIX,TOPIX_INDEX_JPX,1328.32,1330.46,1317.74,1322.99,1322.99,,2016-09-13
2016-09-14,TOPIX,TOPIX_INDEX_JPX,1314.43,1320.85,1312.86,1314.74,1314.74,,2016-09-14
2016-09-15,TOPIX,TOPIX_INDEX_JPX,1306.54,1307.41,1296.39,1301.11,1301.11,,2016-09-15
2016-09-16,TOPIX,TOPIX_INDEX_JPX,1304.75,1313.24,1302.01,1311.5,1311.5,,2016-09-16
2016-09-20,TOPIX,TOPIX_INDEX_JPX,1305.17,1323.98,1304.75,1316.97,1316.97,,2016-09-20
2016-09-21,TOPIX,TOPIX_INDEX_JPX,1316.64,1353.52,1309.51,1352.67,1352.67,,2016-09-21
2016-09-23,TOPIX,TOPIX_INDEX_JPX,1347.85,1351.08,1341.53,1349.56,1349.56,,2016-09-23
2016-09-26,TOPIX,TOPIX_INDEX_JPX,1347.14,1347.45,1333.65,1335.84,1335.84,,2016-09-26
2016-09-27,TOPIX,TOPIX_INDEX_JPX,1321.37,1349.22,1313.77,1349.22,1349.22,,2016-09-27
2016-09-28,TOPIX,TOPIX_INDEX_JPX,1333.77,1337.03,1324.4,1330.77,1330.77,,2016-09-28
2016-09-29,TOPIX,TOPIX_INDEX_JPX,1340.62,1347.93,1337.81,1343.25,1343.25,,2016-09-29
2016-09-30,TOPIX,TOPIX_INDEX_JPX,1323.23,1328.65,1315.86,1322.78,1322.78,,2016-09-30
2016-10-03,TOPIX,TOPIX_INDEX_JPX,1332.14,1338.34,1329.06,1330.72,1330.72,,2016-10-03
2016-10-04,TOPIX,TOPIX_INDEX_JPX,1334.1,1341.05,1332.63,1340.21,1340.21,,2016-10-04
