paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_ln_market_cap,se_ln_market_cap,p_ln_market_cap,beta_ln_volatility,se_ln_volatility,p_ln_volatility,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z,beta_disagreement,se_disagreement,p_disagreement
paper1,1,0,0,GPT+Neg+Pos+Controls+YearFE,True,False,1086,0.02114984564687361,0.06564997021603572,0.06850224211414217,0.33788006994775854,0.024463920811102706,0.03853801445356692,0.5255590454905155,0.17894138886015143,0.20198628536188765,0.37566677729718145,,,,-0.08543677043745619,0.04884015986961182,0.08023677491361125,0.036851317007313,0.0482978516773705,0.4454627021822932,,,
paper1,1,0,0,GPT+Neg+Pos+Controls+YearFE+IndFE,True,True,1086,0.07053381758184507,0.08782024092950712,0.06629247119900536,0.18525763837669817,-0.0022234791194268356,0.041995173397618664,0.9577748824383328,0.2738256756861657,0.19919615931296314,0.1692389278956956,,,,-0.05057392716265555,0.048336255110355636,0.2954253772039491,0.05420556555711076,0.054337546367319405,0.3184873838364496,,,
paper1,1,0,0,DISAGREE,False,False,1086,6.223277445593922e-06,,,,,,,,,,,,,,,,,,,-0.003759889313938257,0.04638915483856841,0.9354013607459963
paper1,1,0,0,DISAGREE+IndFE,False,True,1086,0.04993793861167173,,,,,,,,,,,,,,,,,,,0.01969905267993318,0.048774777735436356,0.6863025405017551
paper1,1,0,0,DISAGREE+YearFE,True,False,1086,0.014043437445499074,,,,,,,,,,,,,,,,,,,-0.017889491661754645,0.046316857294622905,0.6993178336937147
paper1,1,0,0,DISAGREE+YearFE+IndFE,True,True,1086,0.06313283193052333,,,,,,,,,,,,,,,,,,,0.0015074344619006458,0.048194126536140226,0.9750475279565614
paper1,1,0,0,DISAGREE+Controls,False,False,1086,0.002203868628797734,,,,0.005249448719329315,0.039645985656278956,0.894661526448883,-0.20210894258759318,0.13073777471914425,0.12212610324306675,,,,,,,,,,-0.007660745218650814,0.04691975383864811,0.8703032188182902
paper1,1,0,0,DISAGREE+Controls+IndFE,False,True,1086,0.05115436792835626,,,,-0.015498476608202364,0.04275542262092988,0.7169847860038445,-0.16632499566214007,0.12569810002526738,0.18576551772588956,,,,,,,,,,0.012703318866286386,0.04909893712601018,0.7958443430550425
paper1,1,0,0,DISAGREE+Controls+YearFE,True,False,1086,0.015051923759310859,,,,0.021481831654074246,0.03999209430083256,0.5911626549931763,0.17526149771013286,0.201848842143324,0.38524056644786064,,,,,,,,,,-0.01778133068197509,0.04646032634252001,0.7019268316487698
paper1,1,0,0,DISAGREE+Controls+YearFE+IndFE,True,True,1086,0.06531954353382952,,,,0.0017207228652817046,0.04287740536958966,0.9679885067251515,0.2846237817030511,0.19979097898394416,0.15427061177565843,,,,,,,,,,0.005018332885944274,0.04832375600515193,0.9172898511601848
paper1,1,0,0,LMMD+DISAGREE,False,False,1086,0.010435489588189961,,,,,,,,,,0.19319910241740312,0.06083883978681543,0.0014953305064195998,,,,,,,0.09283966189476327,0.05840381981445526,0.11192132860608896
paper1,1,0,0,LMMD+DISAGREE+IndFE,False,True,1086,0.059592790409696006,,,,,,,,,,0.19902801091187397,0.060176619079525664,0.00094167102389498,,,,,,,0.10187013066272474,0.05943088164141694,0.08651142331985633
paper1,1,0,0,LMMD+DISAGREE+YearFE,True,False,1086,0.01973968879219168,,,,,,,,,,0.15982447389388532,0.07607854488188785,0.035660065430294666,,,,,,,0.07405372374671375,0.06710471732458562,0.2697863668059528
paper1,1,0,0,LMMD+DISAGREE+YearFE+IndFE,True,True,1086,0.06845790808947494,,,,,,,,,,0.1660191125615126,0.07456748116316675,0.025985540528598864,,,,,,,0.08475105074778726,0.0662170902519321,0.20058138631646638
