paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z
paper1,2026-03-08_062530,-2,2,LMMD_PosNeg+YearFE,True,False,1087,0.034171706902775045,,,,,,,-0.002302823796868461,0.0011102647509370132,0.03806804449375033,0.0020803519300417843,0.0010375572619821586,0.04495793463952601
paper1,2026-03-08_062530,-2,2,LMMD_PosNeg+YearFE+IndFE,True,True,1087,0.07805049776040018,,,,,,,-0.0014791680411253248,0.001172600300059236,0.2071494067696058,0.0031309756114150837,0.001220540303256157,0.01031052392643594
paper1,2026-03-08_062530,-2,2,GPT+Neg+Pos,False,False,1087,0.011978119622301442,0.00018074831647289596,0.0011947624242744067,0.8797517707906541,,,,-0.002678104319462751,0.0012402565997350148,0.03082575972208504,0.0020536124532910694,0.001003353623760041,0.04068279153711594
paper1,2026-03-08_062530,-2,2,GPT+Neg+Pos+IndFE,False,True,1087,0.055801999261288815,0.00044436087291352476,0.0012340781749975351,0.718790942262451,,,,-0.001875876752432763,0.0013355072201455744,0.1601350633832227,0.0029490236041186902,0.0011797636629782208,0.012430792024947533
paper1,2026-03-08_062530,-2,2,GPT+Neg+Pos+YearFE,True,False,1087,0.03421263050130707,0.0002642898563313756,0.0013793921696554402,0.8480564985205736,,,,-0.00220604745047115,0.0012327176929672738,0.0735213880145725,0.002053974707514139,0.001023459964146143,0.044761050112048874
paper1,2026-03-08_062530,-2,2,GPT+Neg+Pos+YearFE+IndFE,True,True,1087,0.07822342694579998,0.0005700430066646494,0.0014073788841533778,0.6854490157837831,,,,-0.0012321183175235042,0.0013333440602704102,0.35544398669497734,0.003090048257481221,0.0012120828323844768,0.01079175720666508
paper1,2026-03-08_062530,-3,3,GPT,False,False,1087,0.0018298488343233554,0.0017224240330359635,0.0012426218064577343,0.16570999532043673,,,,,,,,,
paper1,2026-03-08_062530,-3,3,GPT+IndFE,False,True,1087,0.05499743567900328,0.0017154703871102503,0.0012601071531149585,0.17339721483357728,,,,,,,,,
paper1,2026-03-08_062530,-3,3,GPT+YearFE,True,False,1087,0.021132427209318405,0.001962365620171054,0.0016951985856321378,0.24702640913638052,,,,,,,,,
paper1,2026-03-08_062530,-3,3,GPT+YearFE+IndFE,True,True,1087,0.07302757640088653,0.0019883885495165284,0.0016853484298857354,0.23807635351608258,,,,,,,,,
paper1,2026-03-08_062530,-3,3,LMMD,False,False,1087,0.008699648441848784,,,,0.0037556345107480683,0.001290960159979614,0.0036237902125284232,,,,,,
paper1,2026-03-08_062530,-3,3,LMMD+IndFE,False,True,1087,0.06268083204753216,,,,0.0044033132069527785,0.001401117438870213,0.001673885632662035,,,,,,
paper1,2026-03-08_062530,-3,3,LMMD+YearFE,True,False,1087,0.026941145053624882,,,,0.00365238920798171,0.0013960519187985188,0.008890733834905388,,,,,,
paper1,2026-03-08_062530,-3,3,LMMD+YearFE+IndFE,True,True,1087,0.0799798087050404,,,,0.004429048684344121,0.001500465704429645,0.0031594520243203254,,,,,,
